word, sentences,english_meaning
ohne,"1. Bitte eine Pizza ohne Zwiebeln.
2. Ohne Auto ist es schwer, zur Arbeit zu kommen.
3. Mein Sohn ist einfach mit dem Auto weggefahren, ohne mich zu fragen.
4. In diesem Haus kann man nichts machen, ohne dass die Nachbarn darüber reden.",without
"das Ohr, -en","1. Ich habe Ohrenschmerzen.
2. Das Baby hat aber kleine Ohren!",the ear
Öko- (ökologisch),"z.B. Ökoladen, Ökostrom, ökologischer Anbau",eco- (ecological)
"das Öl, -e","1. Es fehlt Öl am Salat.
2. Wir heizen mit Öl.
3. Können Sie bei meinem Auto bitte das Öl kontrollieren?",the oil
"die Oma, -s",Meine Oma ist achtzig Jahre alt geworden.,the grandma
"der Onkel, -",Nächste Woche fahre ich zu meinem Onkel nach Berlin.,the uncle
"der Opa, -s",Mein Opa heißt Hans.,the grandpa
"die Oper, -n","1. Ich mag Opern.
2. Warst du schon mal in der Oper?",the opera
"operieren, operiert, operierte, hat operiert",Wir müssen das Knie sofort operieren.,operate
"die Operation, -en",Seit der Operation kann ich mein Knie nicht mehr bewegen.,the operation
"das Opfer, -",Bei der Schiffskatastrophe gab es viele Opfer.,the victim
optimistisch,"Glaubst du, dass du den Job bekommst. – Ja, ich bin ganz optimistisch.",optimistic
"die Orange, -n",Ich esse gern Orangen.,the orange
"das Orchester, -",Auf unserer Hochzeit hat ein kleines Orchester gespielt.,the orchestra
ordentlich,"1. Mein Bruder ist ein sehr ordentlicher Mensch.
2. Auf seinem Schreibtisch sieht es immer sehr ordentlich aus.",orderly
"die Ordination, -en (A)
→ Praxis",Die Ordination bleibt bis zum 7. Jänner geschlossen.,the ordination
"die Ordination, -en (A)
→ Sprechstunde",Frau Dr. Berger hat von 8 bis 12 Uhr Ordination.,the ordination
"ordnen, ordnet, ordnete, hat geordnet",Letztes Wochenende habe ich meine Papiere geordnet.,arrange
"der Ordner, -",Für meine Übungen im Deutschkurs habe ich mir einen Ordner gekauft.,the folder
die Ordnung,"1. Mach mal etwas Ordnung in deinem Zimmer!
2. Bitte beachten Sie die Hausordnung.
3. Mit dem Motor ist etwas nicht in Ordnung.",the order
"organisieren, organisiert, organisierte, hat organisiert",Für den nächsten Sommerurlaub habe ich schon alles organisiert.,organize
"die Organisation, -en","1. Die Organisation des Festes war sehr gut.
2. Sind Sie Mitglied in einer Organisation?",the organization
"das Original, -e",Das Original ist für Sie. Wir bekommen die Kopie.,the original
original,Ich muss das originale Dokument abgeben.,original
"der Ort, -e",Vergessen Sie Ort und Datum nicht.,the place
"der Vorort, -e",Mein Bruder wohnt in einem Vorort von Hamburg.,the suburb
"der Wohnort, -e",Tragen Sie bitte auch Ihren Wohnort ein.,the place of residence
"der Ozean, -e",Dieses Schiff fährt über den Atlantischen Ozean.,the ocean
(ein) paar,"1. Ich komme gleich. Es dauert nur ein paar Minuten.
2. Wir fahren mit ein paar Freunden in Urlaub.",(a couple
"das Paar, -e","1. Ina und Pedro sind ein Paar.
2. Gestern habe ich mir ein Paar neue Schuhe gekauft.",the couple
"packen, packt, packte, hat gepackt",Ich muss noch meinen Koffer packen.,pack
"das Paket, -e",Hast du das Paket zur Post gebracht?,the package
"die Panne, -n","1. Kurz vor München hatten wir eine Panne mit dem Auto.
2. Die Reise war schlecht organisiert, es gab mehrere Pannen.",the breakdown
"das Papier, -e","1. Hast du ein Blatt Papier für mich?
2. Bitte bringen Sie zu dem Termin alle Papiere mit.",the paper
"der Paradeiser, - (A)
→ Tomate",Kauf bitte noch Paradeiser auf dem Markt.,the tomato
parallel,Die Goethestraße ist parallel zur Hauptstraße.,parallel
"das Parfüm, -s",Zum Geburtstag habe ich von meinem Mann ein Parfüm bekommen.,the perfume
"der Park, -s",Ich gehe gern im Park spazieren.,the park
"parken, parkt, parkte, hat geparkt (D, A)
→ CH: parkieren","1. Hier dürfen Sie nicht parken.
2. Hier ist das Parken verboten.",park
"parkieren, parkiert, parkierte, hat parkiert (CH)
→ D, A: parken","1. Hier dürfen Sie nicht parkieren.
2. Hier ist das Parkieren verboten.",park
"der Partner, -
die Partnerin, -nen","1. Wir haben das Geschäft zusammen. Wir sind Partner.
2. Beide Partner kümmern sich um die Kinder.
3. Herr Aydin ist mein Geschäftspartner.",the partner
"die Party, -s",Letzte Woche war ich auf einer Geburtstagsparty.,the party
"der Pass, ¨-e","1. Ich muss meinen Pass verlängern lassen.
2. Im Hotel brauchst du bei der Anmeldung deinen Pass.",the passport
"der Passagier, -e
die Passagierin, -nen",Die Passagiere Schulz und Kaufmann sollen bitte zur Information kommen.,the passenger
"passen, passt, passte, hat gepasst","1. Der Pullover passt mir nicht mehr.
2. Wann soll ich kommen? Passt es Ihnen morgen Abend?
3. Passt das T-Shirt zu diesem Rock?",fit
"passieren, passiert, passierte, ist passiert","1. Entschuldigung! – Kein Problem. Es ist nichts passiert.
2. Wie ist der Unfall passiert?
3. Man hat mir die Brieftasche gestohlen. – Das ist mir auch schon passiert.",happen
passiv,"Man sollte im Kurs nicht passiv sein, sondern mitdiskutieren.",passive
"der Patient, -en
die Patientin, -nen",Ich bin Patientin bei Dr. Hausner. Ich möchte bitte einen Termin.,the patient
pauschal,Sie haben die Reise pauschal gebucht.,lump sum
"die Pause, -n",Wir machen zehn Minuten Pause.,the break
das Pech,"1. Es regnet. Unser Picknick fällt leider aus. – So ein Pech!
2. Wir hatten im Urlaub Pech mit dem Wetter.",the bad luck
peinlich,"1. Das muss dir nicht peinlich sein.
2. Das war eine peinliche Situation.",awkward
"die Pension, -en",Im Urlaub haben wir in einer kleinen Pension gewohnt.,the guesthouse
"die Pension, -en (A, CH)
→ D, CH: Rente",Sie ist 67 und bekommt jetzt eine gute Pension.,the guesthouse
"in Pension gehen/sein (D, A)
→ D: in Rente gehen/sein; D, CH: pensioniert werden/sein","1. Ich gehe Ende des Jahres in Pension.
2. Mein Nachbar ist seit zehn Jahren in Pension.",to retire/be retired (D
"pensioniert werden/sein (D, CH)
→ D, A: in Pension gehen/sein; D: in Rente gehen/sein","1. Ich werde Ende des Jahres pensioniert.
2. Mein Nachbar ist seit zehn Jahren pensioniert.",to be/be retired (D
"der Pensionist, -en
die Pensionistin, -nen (A)
→ D, CH: Rentner",Meine Großmutter arbeitet nicht mehr. Sie ist Pensionistin.,the pensioner
per,Wie kann ich mich für den Kurs anmelden? – Per Fax oder E-Mail.,by
perfekt,Die Reiseorganisation war perfekt.,perfect
"der Perron, -s (CH)
→ D, A: Bahnsteig",Auf Hauptbahnhöfen gibt es meist viele Perrons.,the platform
"die Person, -en",Eintritt pro Person: 2 Euro.,the person
persönlich,"1. Hier gibt es zu viele Autos. Das ist meine persönliche Meinung.
2. Ich muss Herrn Meier persönlich sprechen.",personal
die Personalien (Pl.),Mein Kollege wird Ihre Personalien aufnehmen.,the personal details (pl.)
"der Personenstand
→ D, A: Familienstand; CH: Zivilstand",Bei „Personenstand“ musst du „ledig“ ankreuzen.,"the civil status
→ D"
das Personal,Dieser Eingang ist nur für das Personal.,the staff
"die Pfanne, -n (CH)
→ D, A: Topf",Hast du keine größere Pfanne? Ich möchte Kartoffeln kochen.,the pan
der Pfeffer,Bringen Sie uns bitte Pfeffer und Salz.,the pepper
"pflanzen, pflanzt, pflanzte, hat gepflanzt",Lass uns einen Baum pflanzen!,plant
"die Pflanze, -n","Wenn wir im Urlaub sind, gießt die Nachbarin unsere Pflanzen.",the plant
"das Pflaster, -",Hast du ein Pflaster? Ich habe mich geschnitten.,the pavement
"die Pflaume, -n",Ich esse gern Pflaumen und noch lieber Pflaumenkuchen.,the plum
"pflegen, pflegt, pflegte, hat gepflegt",Meine Mutter ist sehr krank. Ich muss sie pflegen.,maintain
"der Pfleger, -
die Pflegerin, -nen",Meine Freundin ist Pflegerin in einem Altersheim.,the nurse
"die Pflicht, -en",Als Autofahrer müssen Sie eine Versicherung haben. Das ist Pflicht.,the duty
"die Phantasie/Fantasie, -n",Mein Sohn malt sehr gut. Er hat viel Phantasie.,the imagination/fantasy
"das Picknick, -s die Pille, -n",Am Sonntag machen wir ein Picknick. Der Arzt hat mir neue Pillen verschrieben.,the picnic
"der Pilz, -e
→ A: Schwammerl",Haben Sie frische Pilze?,the mushroom
"die Pizza, -s/Pizzen",Lass uns eine Pizza bestellen!,the pizza
"das Plakat, -e",Im Unterricht haben wir ein Plakat gemacht.,the poster
"planen, plant, plante, hat geplant","1. Wir haben geplant, diesmal im Urlaub nach Österreich zu fahren.
2. Unser Familientreffen ist für Juni geplant.",plan
"der Plan, ¨-e","1. Was macht ihr im Sommer? – Ich weiß noch nicht, wir haben noch keine Pläne.
2. Haben Sie einen Plan von Berlin?",the plan
"die Planung, -en",Unsere Planung für das Sommerfest steht schon lange.,the planning
das Plastik,Was für ein Spielzeug möchten Sie? Aus Plastik oder aus Holz?,the plastic
"der Platz, ¨-e","1. In unserer Wohnung haben wir nicht genug Platz.
2. Ist dieser Platz noch frei?
3. Nehmen Sie bitte Platz.
4. Die Post ist auf dem Platz, direkt am Markt.",the space
plötzlich,Es war zuerst so schön. Plötzlich hat es angefangen zu regnen.,suddenly
die Politik,Ich interessiere mich nicht für Politik.,the politics
"der Politiker, -
die Politikerin, -nen","Weißt du, wie dieser Politiker heißt?",the politician
politisch,"1. Ich diskutiere mit meinem Mann oft über politische Probleme.
2. Die politischen Meinungen zum Thema Umwelt sind sehr verschieden.",politically
die Polizei,"1. Rufen Sie bitte die Polizei.
2. Er arbeitet bei der Polizei.",the police
"der Polizist, -en
die Polizistin, -nen",Die Ampel war kaputt. Ein Polizist hat den Verkehr geregelt.,the policeman
die Pommes frites (Pl.),Die Kinder essen gern Würstchen mit Pommes frites.,the French fries (pl.)
populär,Diese Musik ist bei Jugendlichen populär.,popular
"das Portemonnaie/Portmonee, -s (D, CH)
→ Brieftasche; A: Geldbörse",Ich habe nur Kleingeld in meinem Portemonnaie.,the wallet/purse
"die Portion, -en","Bitte, eine große Portion Sahne!",the portion
positiv,"1. Wir haben eine positive Nachricht für Sie. Sie bekommen die Stelle.
2. Man muss positiv denken.",positive
die Post,"1. Die Post macht erst um 8 Uhr auf.
2. Meine Frau arbeitet bei der Post.
3. Ist Post für mich da?",the post
"die Postleitzahl, -en",Weißt du die Postleitzahl der Kollwitzstraße in Berlin?,the zip code
"der Pöstler, -
die Pöstlerin, -nen (CH)
→ Briefträger",War die Pöstlerin schon da?,the postman
"das Poulet, -s (CH)
→ D: Hähnchen/Hühnchen; A: Hend(e)l",Zum Mittagessen gibt es Poulet mit Reis.,the chicken
"das Praktikum, Praktika",Ich mache diesen Sommer drei Monate ein Praktikum bei einer Firma.,the internship
"der Praktikant, -en
die Praktikantin, -nen",Bei dieser Firma habe ich zwei Jahre als Praktikantin gearbeitet.,the intern
praktisch,"1. Ich finde diese Küchenmaschine sehr praktisch.
2. Ich habe letzte Woche den Führerschein gemacht. Jetzt fehlt mir noch praktische Erfahrung.
3. Dieses Handy kann praktisch alles, was ein Computer kann.",practical
präsentieren,Präsentieren Sie Ihre Ergebnisse bitte im Kurs.,present
"die Präsentation, -en",Die Schülerin hat für ihre Präsentation eine gute Note bekommen.,the presentation
die Praxis,Das ist die Theorie. In der Praxis ist vieles ganz anders.,the practice
"die Praxis, Praxen
→ A: Ordination",Die Arztpraxis bleibt bis zum 7. Januar geschlossen.,the practice
"der Preis, -e","1. Die Preise sind schon wieder gestiegen.
2. Wer hat den ersten Preis gewonnen?",the price
preiswert,Die Jacke ist sehr preiswert.,inexpensive
die Presse,Darüber konnte sich jeder in der Presse informieren.,the press
prima,Mit diesen Leuten verstehe ich mich prima.,great
privat,"1. Hier meine Nummer im Büro und meine private Nummer.
2. Über meine Probleme möchte ich nicht sprechen. Das ist privat.
3. Ich treffe meine Arbeitskollegen auch privat.",private
pro,Eintritt pro Person: zwei Euro.,per
"probieren, probiert, probierte, hat probiert","1. Haben Sie dieses Waschmittel schon einmal probiert?
2. Ich habe probiert, die Zeitung zu lesen, aber es war zu schwer.
3. Darf ich die Schuhe anprobieren?",try out
"probieren, probiert, probierte, hat probiert (D, CH)
→ A: kosten",Möchten Sie den Käse mal probieren?,try out
"das Problem, -e",José spricht nicht gern über seine Probleme.,the problem
"produzieren, produziert, produzierte, hat produziert",Unsere Firma produziert Feuerzeuge.,produce
"das Produkt, -e","1. Unsere Produkte haben eine hohe Qualität.
2. Der Arzt sagt, ich soll keine fertigen Produkte essen.",the product
die Produktion,Die Produktion von Käse dauert oft viele Wochen.,the production
"der Professor, -en
die Professorin, -nen",Unsere Nachbarin ist Professorin an der Universität.,the professor
"der Profi, -s",Keine Angst. Mein Bruder kann die Heizung bestimmt reparieren. Er ist doch ein Profi.,the professional
"der Profisportler, -
die Profisportlerin, -nen",Mein Sohn möchte Profisportler werden.,the professional athlete
"das Programm, -e","1. Hast du schon ins Programm geguckt? Gibt es heute im Fernsehen einen schönen Film?
2. Mit welchen Programmen arbeitest du am Computer?",the program
"das Projekt, -e",Der Staat fördert Projekte für Kinder und Jugendliche.,the project
"der Prospekt, -e",Bitte schicken Sie mir einen Prospekt von Ihrem Hotel.,the prospectus
Prost,Wir trinken auf Ihre Gesundheit! Prost!,Cheers
"protestieren, protestiert, protestierte, hat protestiert",Wir protestieren gegen den Bau der Autobahn.,protest
"der Protest, -e",Alle Proteste haben nichts genützt.,the protest
"der Prozess, -e",Der Prozess wird direkt aus dem Gerichtssaal im Fernsehen übertragen.,the process
"prüfen, prüft, prüfte, hat geprüft","Bitte prüfen Sie sofort, ob die Rechnung stimmt.",check
"die Prüfung, -en",Mein Freund hat die Prüfung bestanden.,the exam
das Publikum,Es war ein tolles Konzert. Das Publikum war begeistert.,the audience
"der Pullover, -",Ich habe mir einen Pullover gekauft.,the sweater
"der Punkt, -e","1. Das Konzert beginnt um Punkt 20 Uhr.
2. Beim letzten Satz fehlt der Punkt.
3. Diesen Punkt haben wir noch nicht besprochen.",the point
pünktlich,"1. Seien Sie bitte pünktlich.
2. Der Bus fährt pünktlich um acht Uhr.",on time
"die Puppe, -n",Unsere kleine Tochter bekommt zum Geburtstag eine Puppe.,the doll
"putzen, putzt, putzte, hat geputzt","1. Ich muss heute noch die Wohnung putzen.
2. Hast du dir schon die Zähne geputzt?",cleaning
"die Qualifikation, -en",Für diese Arbeit haben Sie gute Qualifikationen.,the qualification
"die Qualität, -en","Für mich ist nicht nur der Preis wichtig, sondern auch die Qualität.",the quality
"das Quartier, -e (CH)
→ D, A: Viertel",Wir wohnen in einem schönen Quartier.,the quarter
quer,Ich muss zu meiner Arbeit quer durch die ganze Stadt fahren.,across
"die Quittung, -en",Brauchen Sie eine Quittung?,the receipt
das Quiz,Er hat beim Quiz gewonnen.,the quiz
"der Rabatt, -e",Sie bekommen zehn Prozent Rabatt.,the discount
"das Rad, ¨-er",Hast du noch ein Rad? Ich bin durch Glas gefahren und jetzt ist mein Rad kaputt.,the wheel
"das Rad, ¨-er (D, A)
→ Fahrrad; CH: Velo","1. Sie fährt jeden Morgen mit dem Rad zur Arbeit.
2. Am Sonntag fahren wir oft Rad.",the wheel
"der Radfahrer, -
die Radfahrerin, -nen",Achtung! Da kommt eine Radfahrerin.,the cyclist
"das Radio, -s","1. Ich möchte mir ein neues Radio kaufen.
2. Ich höre gern Radio.",the radio
"der (Schlag-)Rahm (CH)
→ D: (Schlag-)Sahne, A: (Schlag-)Obers",Ich hätte gern ein Stück Torte mit (Schlag-)Rahm.,"the (whipped) cream (CH)
→ D: (whipped) cream"
"der Rand, ¨-er",Wir wohnen am Rand der Innenstadt. Dort ist es billiger und ruhiger.,the edge
"der Rasen, -",Bitte den Rasen nicht betreten!,the lawn
"(sich) rasieren, rasiert, rasierte, hat rasiert",Dein Bart ist aber lang! Du solltest dich mal wieder rasieren.,(shave
"raten, rät, riet, hat geraten","1. Ich möchte billig Urlaub machen. Was raten Sie mir?
2. Rate mal, wen ich heute getroffen habe! Deinen Lehrer.",guess
der Rat,Was soll ich machen? Können Sie mir einen Rat geben?,the council
"Ratschlag, ¨-e",Meine Tochter nimmt meine Ratschläge nicht an.,Advice
"das Rätsel, -",Ich kann dieses Rätsel nicht lösen.,the puzzle
"das Rathaus, ¨-er","1. Hier links sehen Sie das Rathaus.
2. Die Wahl findet im Rathaus statt.",the town hall
"rauchen, raucht, rauchte, hat geraucht","1. Hier ist das Rauchen verboten!
2. Stört es Sie, wenn ich rauche?",smoke
"der Raucher, -
die Raucherin, -nen","1. Gibt es hier ein Zimmer für Raucher?
2. Ich bin keine Raucherin. Ich bin Nichtraucherin.",the smoker
"der Raum, ¨-e",Getränke gibt es im Raum nebenan.,the space
rauf/rauf-,"1. Hier ist die Treppe, also los, schnell rauf!
2. Möchtest du nicht raufkommen?",up/up-
raus/raus-,"1. Willst du rein oder raus?
2. Er ist gerade rausgelaufen.",out/out-
"reagieren, reagiert, reagierte, hat reagiert","Ich habe dem Vermieter geschrieben, aber er hat noch nicht reagiert.",react
"die Reaktion, -en",Diese Reaktion ist typisch für ihn.,the reaction
"realisieren, realisiert, realisierte, hat realisiert","1. Diese Pläne sind nicht zu realisieren.
2. Ich habe nicht realisiert, dass die Zeit schon um ist.",realize
"die Realität, -en",Das gefällt dir nicht? Aber das ist die Realität.,the reality
realistisch,"Ich glaube nicht, dass du für das Auto noch so viel Geld bekommst. Das ist nicht realistisch.",realistic
"die Recherche, -n",Für diesen Bericht waren viele Recherchen nötig.,the research
"rechnen, rechnet, rechnete, hat gerechnet","1. Meine Tochter kann gut rechnen.
2. Im/In Rechnen hat sie eine Eins.
3. Mit solchen Schwierigkeiten hatten wir nicht gerechnet.",calculate
"der Rechner, -",Mein Rechner ist kaputt.,the computer
"die Rechnung, -en","1. Bitte, die Rechnung!
2. Brauchen Sie für diese Reparatur eine Rechnung?",the bill
"das Recht, -e","1. Nach deutschem Recht kann er dafür nicht bestraft werden.
2. Ich hatte Vorfahrt. Ich war im Recht.
3. Die Rechnung stimmt nicht? Dann haben Sie das Recht, das Geld zurückzubekommen.",the right
rechtlich,Wir beraten Sie in rechtlichen Fragen.,legally
recht,"1. Ist es Ihnen recht, wenn ich morgen vorbeikomme?
2. Da haben Sie recht.
3. Da muss ich Ihnen recht geben.",right
rechts,"1. An der nächsten Kreuzung müssen Sie rechts abbiegen.
2. Der Bahnhof ist da vorne rechts.",right
